 = 1348
'and = 1
'asis' = 1
'found = 1
'i = 2
'i'll = 2
'it' = 2
'let = 1
'poison' = 1
'round = 15
'round' = 1
'such = 1
'tis = 3
'what' = 1
'who = 1
'william = 1
1 = 2
12 = 1
1500 = 1
19033 = 1
190338txt = 1
190338zip = 1
1916 = 1
1a = 1
1b = 1
1c = 2
1d = 1
1e = 2
1e1 = 5
1e2 = 1
1e3 = 1
1e4 = 1
1e5 = 1
1e6 = 1
1e7 = 3
1e8 = 4
1e9 = 3
1f = 1
1f1 = 1
1f2 = 1
1f3 = 4
1f4 = 1
1f5 = 1
1f6 = 1
2 = 1
20 = 1
2001 = 1
2006 = 1
3 = 3
30 = 1
4 = 3
4557 = 1
5 = 1
50 = 1
5000 = 1
501c3 = 2
5961887 = 1
60 = 1
646221541 = 1
801 = 1
809 = 1
84116 = 1
90 = 2
99712 = 1
a = 328
abide = 1
about = 41
above = 1
accept = 1
accepted = 2
accepting = 1
access = 10
accessed = 1
accessible = 1
accordance = 2
accusation = 1
accustomed = 1
across = 5
active = 2
actual = 1
actually = 1
added = 8
addition = 1
additional = 4
additions = 1
address = 1
addressed = 1
addresses = 1
adjourn = 1
adoption = 1
adventures = 3
advice = 1
advisable = 1
advisable' = 1
advise = 1
affectionately = 2
afore = 1
afraid = 6
after = 16
afterwards = 1
again = 28
against = 6
agent = 1
agony = 1
agree = 9
agreed = 1
agreement = 18
ah = 2
ahem = 1
ai'm = 2
air = 5
ak = 1
alarm = 1
alas = 4
alice = 168
alice's = 8
alive = 1
all = 79
allow = 1
almost = 3
alone = 3
alonecatch = 1
along = 4
aloud = 2
already = 2
also = 2
alteration = 1
alternate = 1
alternately = 1
altogether = 1
always = 2
am = 6
among = 9
an = 22
and = 403
andoh = 1
anger = 2
angrily = 1
angry = 3
animal = 1
animal's = 1
animals = 4
ann = 4
another = 9
answer = 3
answers = 1
anxiously = 5
any = 51
anyone = 6
anything = 8
anywhere = 2
apiece = 1
appear = 1
appearance = 1
appeared = 1
appearing = 1
appears = 1
apples = 1
applicable = 3
apply = 1
approach = 1
archbishop = 2
arches = 1
archive = 13
are = 38
arise = 1
arm = 9
armchair = 1
arms = 5
around = 1
array = 1
arrived = 1
as = 101
ascii = 2
asked = 4
asking = 3
asleep = 2
assembled = 2
assistance = 1
associated = 8
at = 95
ate = 1
atheling = 1
atom = 1
attached = 1
attempt = 1
attending = 1
august = 1
author = 1
authority = 1
available = 2
away = 18
awayyou = 1
awhile = 2
b = 2
baby = 5
babythe = 1
back = 15
balls = 1
bank = 2
banks = 1
bankthe = 1
barrowful = 2
based = 2
be = 57
bearwho's = 1
beasts = 1
beat = 1
beating = 1
beautiful = 2
beautifully = 2
because = 4
become = 1
bed = 1
beds = 1
been = 11
before = 14
beg = 3
began = 19
begged = 1
begin = 3
beginning = 5
begun = 1
beheading = 1
behind = 3
being = 2
believe = 3
belong = 1
below = 5
bend = 2
best = 5
better = 3
between = 1
bill = 4
bill's = 1
binary = 1
birds = 7
bit = 9
blades = 1
blasts = 2
blew = 2
blow = 1
blows = 1
blue = 1
book = 4
bookshelves = 1
both = 5
bottle = 8
bough = 1
bound = 2
bowed = 2
box = 2
boxed = 1
branches = 1
brass = 1
breach = 2
bread = 3
breath = 1
breath' = 1
breathe = 1
breathe' = 1
bright = 4
brightened = 1
bring = 1
bringing = 1
bristling = 1
broke = 1
broken = 4
brought = 1
brushing = 1
burning = 1
busily = 1
business = 4
businesspglaforg = 1
but = 52
butter = 3
buttered = 1
by = 47
c = 1
cake = 2
cakes = 3
calculate = 1
calculated = 1
caldron = 2
call = 4
called = 10
calling = 1
came = 25
can = 19
can't = 8
canary = 1
cannot = 5
canterbury = 1
card = 1
cards = 3
care = 3
carefully = 1
cares = 1
carried = 1
carroll = 3
carry = 1
carrying = 2
cartwheels = 1
case = 1
cat = 12
caterpillar = 14
cats = 7
catsnasty = 1
caucusrace = 3
caught = 2
cause = 5
caused = 2
cease = 1
ceiling = 1
certain = 4
certainly = 4
chains = 1
chanced = 1
change = 5
changed = 3
changes = 1
changing = 1
charge = 6
charges = 1
charitable = 1
charities = 1
chatte = 1
check = 2
checks = 1
cherrytart = 1
cheshirecat = 3
cheshirecats = 1
cheshirepuss = 1
chief = 1
child = 2
children = 2
chimney = 4
chimneynay = 1
chin = 3
chinit = 1
choice = 2
choke = 1
choked = 1
choose = 1
chorus = 3
circle = 1
circumstances = 1
city = 1
claim = 1
clapping = 1
clearly = 1
climb = 1
clinging = 1
close = 6
closely = 1
clubs = 1
codes = 1
collection = 4
come = 15
comes = 2
comfits = 2
coming = 4
commercial = 1
committed = 1
commotion = 1
company = 3
compilation = 1
complained = 1
complaining = 1
completely = 1
compliance = 5
comply = 6
complying = 3
compressed = 1
computer = 2
computers = 2
concept = 2
concerning = 2
concluded = 1
condemn = 1
confirmation = 1
confirmed = 1
confused = 1
confusing = 1
confusion = 4
conqueror = 2
conquest = 1
consequential = 1
consider = 2
considerable = 2
considering = 1
constant = 2
consultation = 1
contact = 4
contain = 2
containing = 1
continued = 2
contract = 1
contributions = 2
conversation = 2
conversations = 2
convert = 1
cook = 7
cool = 2
copied = 2
copies = 7
copy = 12
copying = 4
copyright = 14
corner = 3
corners = 1
corporation = 1
corrupt = 1
cost = 3
costs = 2
could = 29
countries = 1
country = 2
course = 7
court = 7
courtiers = 1
crash = 2
crawled = 1
created = 2
creating = 4
creation = 1
creature = 3
creatures = 3
credit = 1
creep = 1
cried = 11
crimson = 1
critical = 1
croquet = 7
croquetground = 2
croqueting = 1
cross = 1
crossexamine = 1
crossly = 1
crouched = 1
crowd = 3
crowded = 4
crown = 2
crown'how = 1
cry = 3
crying = 1
cucumberframe = 1
cunning = 1
cupboards = 2
cur = 1
curiosity = 1
curious = 7
curiouser = 2
curls = 1
currants = 1
current = 1
curtain = 1
curving = 1
cushion = 1
custard = 1
custody = 1
cut = 1
d = 1
daisies = 1
daisychain = 1
damage = 2
damaged = 1
damages = 4
dare = 1
dark = 3
darkness = 1
data = 1
date = 3
day = 7
days = 4
dead = 2
deal = 5
dear = 14
dears = 2
death' = 1
decided = 1
deductible = 1
deep = 2
defect = 3
defective = 3
defects = 1
deletions = 1
delight = 1
delighted = 2
demand = 1
denial = 1
depends = 1
derivative = 3
derive = 1
derived = 1
described = 1
despair = 1
